task,language,id,n,gz,cpu,KB,status,load,secs [15 Apr 2016 u64q n]
binary-trees,PHP,3,12,483,0.248,1288,0,0% 4% 96% 8%,0.25
binary-trees,PHP,3,16,483,7.032,104312,0,1% 1% 1% 100%,7.041
binary-trees,PHP,3,20,483,168.012,1549916,0,38% 30% 1% 34%,168.147
binary-trees,Hack,3,12,480,0.376,1540,0,5% 0% 5% 100%,0.38
binary-trees,Hack,3,16,480,1.772,158876,0,1% 2% 100% 1%,1.78
binary-trees,Hack,3,20,480,34.960,652736,0,1% 0% 1% 100%,34.999
binary-trees,Scala,2,12,641,0.392,888,0,76% 19% 17% 27%,0.338
binary-trees,Scala,2,16,641,1.736,102148,0,53% 59% 80% 39%,0.76
binary-trees,Scala,2,20,641,36.288,686532,0,85% 87% 72% 73%,11.52
binary-trees,Ruby,5,12,1123,0.432,720,0,38% 95% 38% 41%,0.213
binary-trees,Ruby,5,16,1123,7.836,91844,0,99% 86% 47% 86%,2.473
binary-trees,Ruby,5,20,1123,168.332,243912,0,96% 65% 68% 64%,57.975
binary-trees,Java,7,12,889,0.432,1604,0,29% 26% 68% 23%,0.375
binary-trees,Java,7,16,889,1.900,110452,0,88% 60% 55% 68%,0.711
binary-trees,Java,7,20,889,40.184,649456,0,94% 85% 87% 83%,11.584
binary-trees,Perl,3,12,706,1.724,12980,0,29% 35% 94% 52%,1.09
binary-trees,Perl,3,16,706,36.260,118856,0,89% 88% 95% 96%,9.883
binary-trees,Perl,3,20,706,791.140,1708468,0,92% 80% 89% 73%,238.049
binary-trees,Erlang HiPE,2,12,499,0.268,1732,0,21% 53% 26% 24%,0.329
binary-trees,Erlang HiPE,2,16,499,2.116,101156,0,68% 77% 69% 79%,0.732
binary-trees,Erlang HiPE,2,20,499,69.048,1013732,0,97% 90% 90% 90%,18.934
binary-trees,C# Mono,2,12,650,0.212,1164,0,5% 95% 0% 0%,0.215
binary-trees,C# Mono,2,16,650,2.024,80432,0,51% 5% 2% 48%,1.943
binary-trees,C# Mono,2,20,650,59.908,456044,0,6% 0% 100% 1%,56.842
binary-trees,TypeScript,1,12,475,0.156,0,0,10% 5% 5% 70%,0.207
binary-trees,TypeScript,1,16,475,2.184,66360,0,1% 100% 2% 0%,2.184
binary-trees,TypeScript,1,20,475,80.280,955936,0,23% 1% 0% 77%,79.951
binary-trees,Lisp SBCL,2,12,649,0.052,0,0,100% 17% 33% 0%,0.054
binary-trees,Lisp SBCL,2,16,649,0.996,77168,0,100% 0% 1% 1%,1.002
binary-trees,Lisp SBCL,2,20,649,24.744,306652,0,99% 1% 1% 0%,24.785
binary-trees,Pascal Free Pascal,1,12,769,0.068,0,0,0% 22% 78% 0%,0.091
binary-trees,Pascal Free Pascal,1,16,769,1.560,5108,0,4% 6% 9% 99%,1.566
binary-trees,Pascal Free Pascal,1,20,769,38.092,131376,0,1% 0% 100% 1%,38.123
binary-trees,Erlang,2,12,499,0.376,816,0,43% 26% 41% 61%,0.227
binary-trees,Erlang,2,16,499,4.820,95784,0,76% 72% 89% 89%,1.496
binary-trees,Erlang,2,20,499,114.828,1155600,0,98% 94% 90% 88%,31.148
binary-trees,Python 3,1,12,596,0.972,14692,0,40% 16% 42% 77%,1.901
binary-trees,Python 3,1,16,596,21.584,97428,0,87% 85% 92% 82%,7.062
binary-trees,Python 3,1,20,596,516.240,804624,0,94% 92% 95% 91%,152.062
binary-trees,Haskell GHC,4,12,612,0.068,0,0,100% 100% 67% 67%,0.025
binary-trees,Haskell GHC,4,16,612,2.884,47612,0,86% 96% 83% 87%,0.83
binary-trees,Haskell GHC,4,20,612,63.764,800820,0,74% 87% 87% 74%,19.975
binary-trees,C gcc,3,12,906,0.028,0,0,100% 100% 50% 0%,0.014
binary-trees,C gcc,3,16,906,0.448,0,0,80% 71% 86% 93%,0.145
binary-trees,C gcc,3,20,906,10.148,156848,0,85% 62% 78% 92%,3.241
binary-trees,Dart,1,12,503,0.200,5372,0,12% 21% 50% 33%,0.562
binary-trees,Dart,1,16,503,1.028,99292,0,6% 3% 92% 7%,1.001
binary-trees,Dart,1,20,503,33.224,335732,0,77% 11% 2% 21%,30.547
binary-trees,F# Mono,1,12,537,0.248,30216,0,53% 26% 21% 58%,1.071
binary-trees,F# Mono,1,16,537,0.868,55480,0,2% 5% 1% 99%,0.858
binary-trees,F# Mono,1,20,537,26.784,164216,0,1% 100% 0% 7%,25.244
binary-trees,Smalltalk VW,1,12,722,0.252,47596,0,16% 3% 0% 81%,1.539
binary-trees,Smalltalk VW,1,16,722,2.520,153860,0,1% 100% 0% 1%,2.525
binary-trees,Smalltalk VW,1,20,722,82.748,330808,0,100% 0% 1% 0%,82.842
binary-trees,Lua,2,12,446,0.676,6448,0,1% 69% 1% 32%,0.757
binary-trees,Lua,2,16,446,19.392,108480,0,30% 43% 28% 12%,19.42
binary-trees,Lua,2,20,446,421.544,1724000,0,42% 21% 4% 34%,422.031
binary-trees,C++ g++,6,12,892,0.040,0,0,50% 50% 100% 100%,0.018
binary-trees,C++ g++,6,16,892,0.716,1016,0,32% 63% 82% 93%,0.278
binary-trees,C++ g++,6,20,892,24.492,362628,0,84% 70% 97% 69%,7.722
binary-trees,Go,2,12,694,0.224,0,0,78% 56% 86% 78%,0.079
